"r","Variance","ExpReturn","YRS_1_3","EMU","EU_EX","PACIFIC","EMERGT","NOR_AM","CASH_EU","ITMHIST"
0.0000,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
0.0200,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
0.0400,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
0.0600,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
0.0800,0.0111,0.0949,0.3411,0.0000,0.0000,0.0000,0.0096,0.1062,0.5156,0.0275
0.1000,0.0117,0.1000,0.3558,0.0000,0.0000,0.0000,0.0252,0.1416,0.4697,0.0076
0.1200,0.0299,0.1200,0.3580,0.0000,0.0000,0.0000,0.0847,0.2654,0.2919,0.0000
0.1400,0.0760,0.1400,0.3542,0.0000,0.0000,0.0000,0.1439,0.3874,0.1145,0.0000
0.1600,0.1506,0.1600,0.3051,0.0000,0.0000,0.0000,0.2090,0.4859,0.0000,0.0000
0.1800,0.2603,0.1800,0.1736,0.0000,0.0000,0.0000,0.2850,0.5414,0.0000,0.0000
0.2000,0.4067,0.2000,0.0422,0.0000,0.0000,0.0000,0.3610,0.5969,0.0000,0.0000
0.2200,0.6174,0.2200,0.0000,0.0000,0.0000,0.0000,0.6494,0.3506,0.0000,0.0000
0.2400,0.9355,0.2380,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
